plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,reference,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,sugar.concentration,pollen.flower
Sideritis glacialis,Lamiaceae,Sideritis,glacialis,E,biotic,2,7,herb,0.25,florandalucia.es,1,dish_bowl,actinomorph,1,1,0,NA,NA
Silene vulgaris,Caryophyllaceae,Silene,vulgaris,E,biotic,4,6,herb,0.2,,1,stalk_disk,actinomorph,1,1,0,NA,NA
Sinapis arvensis,Brassicaceae,Sinapis,arvensis,N,biotic,5,6,herb,0.5,,1,dish_bowl,actinomorph,1,1,0,64.48,NA
Solanum dulcamara,Solanaceae,Solanum,dulcamara,N,biotic,3,6,herb,6,,1,bell_trumpet,actinomorph,0,1,0,NA,NA
Solanum lycopersicum,Solanaceae,Solanum,lycopersicum,E,biotic,1,5,climber,2,naturadb.de,1,bell_trumpet,actinomorph,NA,1,NA,27.29,NA
Solanum nigrum,Solanaceae,Solanum,nigrum,N,biotic,5,6,herb,1,,1,bell_trumpet,actinomorph,0,1,0,0,120505
Sonchus oleraceus,Asteraceae,Sonchus,oleraceus,N,biotic,5,6,herb,1,,1,dish_bowl,actinomorph,1,1,0,501.17,NA
Spiraea japonica,Rosaceae,Spiraea,japonica,E,biotic,2,6,shrub,2,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Stachys officinalis,Lamiaceae,Stachys,officinalis,N,biotic,2,7,herb,0.38,,1,gullet,sigomorph,1,1,0,54,NA
Stachys spinosa,Lamiaceae,Stachys,spinosa,E,biotic,NA,NA,herb,0.3,alpinegardensociety.net,1,gullet,sigomorph,1,1,0,NA,NA
Symphytum bulbosum,Boraginaceae,Symphytum,bulbosum,N,biotic,2,4,herb,0.33,,1,tube,actinomorph,1,1,0,NA,NA
Symphytum officinale,Boraginaceae,Symphytum,officinale,N,biotic,4,5,herb,1.5,,1,tube,actinomorph,1,1,0,NA,NA
Tagetes erecta,Asteraceae,Tagetes,erecta,E,biotic,3,7,herb,1.5,,1,dish_bowl,actinomorph,1,1,0,1227.42,NA
Tagetes tenuifolia,Asteraceae,Tagetes,tenuifolia,E,biotic,3,7,herb,0.8,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Taraxacum officinale,Asteraceae,Taraxacum,officinale,N,biotic,6,4,herb,0.3,,1,dish_bowl,actinomorph,1,1,0,37.25833333,NA
