In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:131800,Gefässpflanzen,Wiesen-Knäuelgras,Dactylis glomerata L.,www.infoflora.ch/flora/1014610,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,2705442,1271705,100,A,,NA,2012,7,10,NA,"Agroscope, Nina Richner",Richner Nina,5189049,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:133900,Gefässpflanzen,Wilde Möhre,Daucus carota L.,www.infoflora.ch/flora/1014950,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285343,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Apiaceae,NA,INN,NA,
x,infoflora:134800,Gefässpflanzen,Rasen-Schmiele,Deschampsia cespitosa (L.) P. Beauv.,www.infoflora.ch/flora/1015040,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285344,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:137600,Gefässpflanzen,Bluthirse,Digitaria sanguinalis aggr.,www.infoflora.ch/flora/1015385,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285345,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:143100,Gefässpflanzen,Dorniger Wurmfarn,Dryopteris carthusiana (Vill.) H. P. Fuchs,www.infoflora.ch/flora/1015910,Uesslingen-Buch,TG,"Uesslingen-Buch. Buch, Tannholz. Torfmoor",488,2705000,1271000,1000,A,,NA,1984,11,10,NA,Naturmuseum Thurgau,Huber,6485037,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Dryopteridaceae,NA,INN,NA,
x,infoflora:143500,Gefässpflanzen,Echter Wurmfarn,Dryopteris filix-mas (L.) Schott,www.infoflora.ch/flora/1015950,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285346,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Dryopteridaceae,NA,INN,NA,
x,infoflora:144100,Gefässpflanzen,Hühnerhirse,Echinochloa crus-galli (L.) P. Beauv.,www.infoflora.ch/flora/1016030,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285347,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:146460,Gefässpflanzen,Hunds-Quecke,Elymus caninus (L.) L.,www.infoflora.ch/flora/1016400,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur, Kiesinsel. Kiesinsel",383,2705750,1270670,50,A,,NA,1997,5,31,NA,Naturmuseum Thurgau,Grädel,6485922,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:146560,Gefässpflanzen,Kriechende Quecke,Elymus repens (L.) Gould,www.infoflora.ch/flora/1016450,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285282,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:146560,Gefässpflanzen,Kriechende Quecke,Elymus repens (L.) Gould,www.infoflora.ch/flora/1016450,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",495,2705442,1271705,4,A,,NA,2012,7,10,NA,"Agroscope, Nina Richner",Richner Nina,5184318,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:146560,Gefässpflanzen,Kriechende Quecke,Elymus repens (L.) Gould,www.infoflora.ch/flora/1016450,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,2705442,1271705,100,A,,NA,2012,7,10,NA,"Agroscope, Nina Richner",Richner Nina,5189047,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:149000,Gefässpflanzen,Kleinblütiges Weidenröschen,Epilobium parviflorum Schreb.,www.infoflora.ch/flora/1016660,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur, westlich Uesslingerbrücke,. Flussdamm",380,2704000,1270000,1000,A,,NA,1990,6,4,NA,Naturmuseum Thurgau,Grädel,6485564,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Onagraceae,NA,INN,NA,
x,infoflora:149000,Gefässpflanzen,Kleinblütiges Weidenröschen,Epilobium parviflorum Schreb.,www.infoflora.ch/flora/1016660,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285348,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Onagraceae,NA,INN,NA,
x,infoflora:149195,Gefässpflanzen,Vierkantiges Weidenröschen,Epilobium tetragonum L.,www.infoflora.ch/flora/1016680,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285349,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Onagraceae,NA,INN,NA,
x,infoflora:150600,Gefässpflanzen,Acker-Schachtelhalm,Equisetum arvense L.,www.infoflora.ch/flora/1016920,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285350,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Equisetaceae,NA,INN,NA,
x,infoflora:150600,Gefässpflanzen,Acker-Schachtelhalm,Equisetum arvense L.,www.infoflora.ch/flora/1016920,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,2705442,1271705,100,A,,NA,2012,7,10,NA,"Agroscope, Nina Richner",Richner Nina,5189050,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Equisetaceae,NA,INN,NA,
x,infoflora:151500,Gefässpflanzen,Riesen-Schachtelhalm,Equisetum telmateia Ehrh.,www.infoflora.ch/flora/1016990,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285351,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Equisetaceae,NA,INN,NA,
x,infoflora:152000,Gefässpflanzen,Kleines Liebesgras,Eragrostis minor Host,www.infoflora.ch/flora/1017270,Uesslingen-Buch,TG,,,2705500,1270500,707,B,26–50 (Individuen),NA,2018,10,17,NA,"Info Flora, Sandra Reinhard",Reinhard Sandra,7166308,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:153800,Gefässpflanzen,Einjähriges Berufkraut,Erigeron annuus (L.) Desf.,www.infoflora.ch/flora/1017510,Uesslingen-Buch,TG,,479-518,2704500,1272500,707,A,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285352,,,,,NA,NA,,NA,,,,NA,NA,NA,Asteraceae,NA,NLS,1,
x,infoflora:156700,Gefässpflanzen,Frühlings-Hungerblümchen,Erophila verna aggr.,www.infoflora.ch/flora/1017800,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285353,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Brassicaceae,NA,INN,NA,
x,infoflora:159000,Gefässpflanzen,Gemeines Pfaffenhütchen,Euonymus europaeus L.,www.infoflora.ch/flora/1018060,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285354,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Celastraceae,NA,INN,NA,
x,infoflora:159800,Gefässpflanzen,Zypressenblättrige Wolfsmilch,Euphorbia cyparissias L.,www.infoflora.ch/flora/1018170,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285355,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Euphorbiaceae,NA,INN,NA,
x,infoflora:159900,Gefässpflanzen,Süsse Wolfsmilch,Euphorbia dulcis L.,www.infoflora.ch/flora/1018190,Uesslingen-Buch,TG,,486-490,2705852,1271525,4,A,,NA,2021,4,10,NA,"Info Flora, Vreni Bärtsch-Frick",Bärtsch-Frick Vreni,10163971,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Euphorbiaceae,NA,INN,NA,
x,infoflora:160000,Gefässpflanzen,Kleine Wolfsmilch,Euphorbia exigua L.,www.infoflora.ch/flora/1018220,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285522,NT,K,L,,NA,NA,,NA,,NT,,NA,NA,NA,Euphorbiaceae,NA,INN,NA,
x,infoflora:160200,Gefässpflanzen,Sonnenwend-Wolfsmilch,Euphorbia helioscopia L.,www.infoflora.ch/flora/1018260,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285356,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Euphorbiaceae,NA,INN,NA,
x,infoflora:160900,Gefässpflanzen,Garten-Wolfsmilch,Euphorbia peplus L.,www.infoflora.ch/flora/1018350,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285357,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Euphorbiaceae,NA,INN,NA,
x,infoflora:161600,Gefässpflanzen,Steife Wolfsmilch,Euphorbia stricta L.,www.infoflora.ch/flora/1018480,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285358,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Euphorbiaceae,NA,INN,NA,
x,infoflora:165000,Gefässpflanzen,Rot-Buche,Fagus sylvatica L.,www.infoflora.ch/flora/1018840,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285359,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Fagaceae,NA,INN,NA,
x,infoflora:165200,Gefässpflanzen,Gemeiner Windenknöterich,Fallopia convolvulus (L.) Á. Löve,www.infoflora.ch/flora/1018870,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur, Kiesinsel. Kiesinsel",383,2705750,1270670,50,A,,NA,1997,5,31,NA,Naturmuseum Thurgau,Grädel,6479387,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Polygonaceae,NA,INN,NA,
