In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Ferenbalm,BE,Gümmenenau. Exposition: SW; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Dauerweide.,479-493,2584812,1198517,20,A,,NA,2006,5,19,NA,BAFU / OFEV / UFAM (TWW - PPS),Huber Claudia,2990241,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,NA,2018,6,7,NA,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443608,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,NA,2018,6,7,NA,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443607,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,NA,2018,6,7,NA,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443606,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,NA,2018,6,7,NA,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443605,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Mühleberg,BE,"Saane, Laupenau",480,2584820,1197270,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1600416,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Mühleberg,BE,"Saane, Laupenau",480,2584830,1196960,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1606589,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Mühleberg,BE,"Saane, Laupenau",480,2584830,1196960,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1600363,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Laupen,BE,Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584878,1197826,5,A,,NA,2005,5,13,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480074,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Laupen,BE,Laupenau. Exposition: SE; Hauptvegetation: Halbtrockenrasen mit Fettzeigern; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,484,2584613,1196098,5,A,,NA,2005,5,13,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480170,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Laupen,BE,Laupenau. Exposition: W; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584692,1197087,5,A,,NA,2005,5,13,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480118,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Ferenbalm,BE,Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,477-478,2584979,1198096,5,A,,NA,2005,5,20,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,481035,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,NA,2018,6,7,NA,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443671,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,NA,2018,6,7,NA,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443670,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Lamiaceae,NA,INN,NA,
x,infoflora:21100,Gefässpflanzen,Gemeiner Frauenmantel,Alchemilla vulgaris aggr.,www.infoflora.ch/flora/1002440,Ferenbalm,BE,Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,477-479,2584939,1197985,161,A,,NA,2005,5,20,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,481016,LC,K,,,NA,NA,,NA,,NE,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Ferenbalm,BE,,480,2585060,1198250,5,A,,NA,2014,9,12,NA,"Info Flora, Jan Ryser",Ryser Jan,4417365,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Alismataceae,NA,INN,NA,
x,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Kriechenwil,BE,,525,2583470,1196250,30,A,,NA,2014,9,13,NA,"Info Flora, Jan Ryser",Ryser Jan,4417392,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Alismataceae,NA,INN,NA,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Kriechenwil,BE,,507-512,2584322,1196060,5,A,,NA,2020,3,19,NA,"Info Flora, Adrian Möhl",Möhl Adrian,8778619,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Brassicaceae,NA,INN,NA,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Gurmels,FR,,526,2584206,1198290,4,A,,NA,2021,2,28,NA,"Info Flora, Adrian Möhl",Möhl Adrian,10054981,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Brassicaceae,NA,INN,NA,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Gurmels,FR,,524-524,2584152,1198114,4,A,,NA,2021,1,10,NA,"Info Flora, Adrian Möhl",Möhl Adrian,10026958,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Brassicaceae,NA,INN,NA,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Ferenbalm,BE,,510,2583695,1198329,4,A,,NA,2021,1,10,NA,"Info Flora, Adrian Möhl",Möhl Adrian,10026970,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Brassicaceae,NA,INN,NA,
x,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Mühleberg,BE,"Saane, Laupenau",480,2584850,1197010,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1606593,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Amaryllidaceae,NA,INN,NA,
