"","","",".y.","group1","group2","n1","n2","statistic","p"
"1",NaN,NaN,value,rural,urban,243,292,c(W = 21197),5.31e-16
"2",NaN,NaN,value,rural,urban,110,223,c(W = 9617.5),0.00136
"3",NaN,NaN,value,rural,urban,110,223,c(W = 10209),0.0129
"4",NaN,NaN,value,rural,urban,110,223,c(W = 15319),0.00022
